Player,odds,generated,operator
Cayden Lindstrom,4.00,2024-06-04 19:00:45.958463,miseojeu
Ivan Demidov,5.00,2024-06-04 19:00:45.958463,miseojeu
Tij Iginla,5.00,2024-06-04 19:00:45.958463,miseojeu
Berkly Catton,11.00,2024-06-04 19:00:45.958463,miseojeu
Zayne Parekh,14.00,2024-06-04 19:00:45.958463,miseojeu
Cole Eiserman,17.00,2024-06-04 19:00:45.958463,miseojeu
Konsta Helenius,17.00,2024-06-04 19:00:45.958463,miseojeu
Artyom Levshunov,18.00,2024-06-04 19:00:45.958463,miseojeu
Sam Dickinson,18.00,2024-06-04 19:00:45.958463,miseojeu
Anton Silayev,20.00,2024-06-04 19:00:45.958463,miseojeu
Zeev Buium,20.00,2024-06-04 19:00:45.958463,miseojeu
Any other player,5.00,2024-06-04 19:00:45.958463,miseojeu
